Исходное слово | Перевод | Количество повторений
окэ | OKE | 1
ахахпххахп | Ahahphahp | 1
разобраться | figure out | 1
новуб | Novub | 1
пугать | frighten | 1
эээ | uh | 1
слово | word | 1
синий | blue | 1
светить | shine | 1
причина | cause | 1
уххахахахахах | Uhhahahahah | 1
аххахахахахах | ahhahahahah | 1
стой | Stop | 1
струя | jet | 1
программист | programmer | 1
какбэ | Sakbe | 1
возврат | return | 1
вытащить | pull out | 1
грустный | sad | 1
придться | Get | 1
дешвый | cheap | 1
значит | Means | 1
чело | brow | 1
беда | trouble | 1
фулла | Full | 1
одинаковый | same | 1
условие | condition | 1
достаточно | enough | 1
неплохо | not bad | 1
вполне | quite | 1
бюджетный | Budget | 1
поколение | generation | 1
каков | what | 1
чорт | Chort | 1
кибербаг | Cyberbag | 1
запуститься | Start | 1
сдохнуть | die | 1
теория | theory | 1
отнести | Take it | 1
ремонт | repair | 1
кроме | except | 1
отъебнуть | Sweep | 1
прога | Prog | 1
поидея | Poles | 1
высокий | high | 1
низкий | short | 1
топовый | Top | 1
выаозита | Tyaosita | 1
поэтому | That's why | 1
переставить | rearrange | 1
какаять | what | 1
результат | result | 1
топ | Top | 1
среди | among | 1
разница | difference | 1
инвестировать | invest | 1
чонгук | Jungkook | 1
спатка | Spatka | 1
вже | Het | 1
задержать | detain | 1
успеть | be on time | 1
рядом | near | 1
важный | important | 1
забыть | forget | 1
положить | put | 1
часто | often | 1
ходить | walk | 1
диаметр | diameter | 1
частый | frequent | 1
прикол | joke | 1
плохо | Badly | 1
ема | EMA | 1
голодень | Hunger | 1
пикник | picnic | 1
пожалуйста | Please | 1
место | place | 1
вс | Sun. | 1
финишный | finishing | 1
прямой | straight | 1
ужс | Uzhs | 1
платформа | platform | 1
отсутствие | absence | 1
увед | Score | 1
край | Territory | 1
подойти | come up | 1
мост | bridge | 1
зарегиться | Register | 1
джифорс | Gifors | 1
драйвер | driver | 1
обновить | Update | 1
аххахах | Ahhahah | 1
почта | mail | 1
нада | Nada | 1
скинуть | throw off | 1
помочь | help | 1
уебал | Uebal | 1
мки | MKI | 1
пятый | fifth | 1
сосать | suck | 1
член | member | 1
под | under | 1
нагрузка | load | 1
вырубаться | cut down | 1
миллионер | millionaire | 1
звать | call for | 1
компуткер | computker | 1
робитать | rob | 1
казаться | seem | 1
стим | Steam | 1
новогодний | New Year | 1
увидеть | see | 1
неий | nonsense | 1
лопата | shovel | 1
бить | beat | 1
ахаххахах | Ahahhahah | 1
батлфилд | Batlefield | 1
форд | Ford | 1
тенкс | Tenks | 1
согласный | consonant | 1
ворлд | Vorld | 1
танкс | tanks | 1
педиков | Pedikov | 1
хахахахха | Hahahahha | 1
ясный | clear | 1
тандер | Tanter | 1
бесплатный | free | 1
многопользовательский | Multi -user | 1
онлайн | Online | 1
шутереть | Shout | 1
калибр | caliber | 1
танда | Tanda | 1
важно | important | 1
бэдаарс | Badaars | 1
китпвп | KITPVP | 1
дефолтный | default | 1
какойтый | What | 1
удалять | delete | 1
помурчать | Frinking | 1
чи | Chi | 1
ак | Ak | 1
скачивать | Download | 1
понятно | It's clear | 1
звук | sound | 1
подключить | to plug | 1
потеряться | get lost | 1
скачиваться | Download | 1
кончиться | end | 1
агася | Agasia | 1
килла | Killa | 1
гнать | Drive | 1
лем | Lem | 1
смысл | meaning | 1
пошлита | Sending | 1
танчикосамолетика | tank -samoletics | 1
виибали | Viibali | 1
фраг | Frag | 1
ассистый | Assy | 1
грудь | breast | 1
орден | Order | 1
кадыров | Kadyrov | 1
ахахахахахахах | Ahahahahahah | 1
дада | Yes Yes | 1
ачо | so what | 1
мёртвый | dead | 1
отправить | send | 1
сей | this | 1
пора | It's time | 1
тг | tg | 1
туалет | toilet | 1
подождать | wait | 1
хахахахи | hahahahi | 1
слрить | Slave | 1
слр | SLR | 1
пахнуть | smell | 1
як | Yak | 1
ъоетлый | Knight | 1
fuf | Fuf | 1
нуго | nigo | 1
дсик | disk | 1
учиться | study | 1
решить | decide | 1
слава | glory | 1
эээээ | Eeeee | 1
спасть | Save | 1
поесть | Eat | 1
ёлка | Christmas tree | 1
ночью | at night | 1
дурак | fool | 1
уметь | be able to | 1
ахаххахсхсха | Ahahhakhshsha | 1
кухня | kitchen | 1
печенька | cookie | 1
падло | Pado | 1
ной | Noah | 1
тефтель | Tefel | 1
встать | get up | 1
мягенький | soft | 1
тёпленький | Warm | 1
направиться | Go | 1
еда | food | 1
наш | our | 1
пространство | space | 1
вода | water | 1
ролл | Roll | 1
слизь | slime | 1
полюбома | to love | 1
никто | nobody | 1
почемуть | why | 1
инвалид | disabled person | 1
сервер | server | 1
мел | chalk | 1
коготь | claw | 1
шляпа | hat | 1
пачимуть | Pachimut | 1
бинго | bingo | 1
пошлый | vulgar | 1
аэаххах | AEAHHAH | 1
кошелёк | wallet | 1
отец | father | 1
подмосковье | Moscow Region | 1
шлюха | whore | 1
столовая | dining room | 1
вмера | Palf | 1
кудато | somewhere | 1
хоокей | hockey | 1
оокей | Ooky | 1
зарядка | charger | 1
перед | before | 1
сон | dream | 1
каковата | how to | 1
конец | end | 1
вставить | insert | 1
хаб | hub | 1
хвхахахвхах | hvhahvhah | 1
ночь | night | 1
умереть | die | 1
анрил | Anryl | 1
ахаххахахахах | ahahahahahah | 1
погнать | Drive | 1
алоо | Hello | 1
срало | Sharp | 1
доигрывать | Digger | 1
покой | peace | 1
понил | Safe | 1
майнкрафт | Minecraft | 1
похвастаться | boast of | 1
тем | those | 1
компуктёр | compounder | 1
вентилятор | fan | 1
контур | circuit | 1
стрик | Strik | 1
отдохнуть | relax | 1
блять | Fuck | 1
сор | sor | 1
заигнорил | Sunnered | 1
чуткий | sensitive | 1
пойдть | Come | 1
питаться | Eat | 1
e | e | 1
v | V | 1
звучать | sound | 1
проец | Protz | 1
собирать | gather | 1
халява | freebie | 1
подогнать | fit | 1
слабый | weak | 1
сожаление | regret | 1
сойти | go away | 1
сборка | assembly | 1
жэсть | tin | 1
сток | Stock | 1
сан | San | 1
зе | Ze | 1
форест | Forest | 1
внизу | at the bottom | 1
улица | Street | 1
штол | Stol | 1
почти | almost | 1
личный | private | 1
получаетс | Get | 1
родитель | parent | 1
ищо | Ishcho | 1
ды | so | 1
миллион | million | 1
машина | car | 1
подарить | give | 1
чесслово | Chesuslovo | 1
узнать | to know | 1
слот | Slot | 1
цвет | color | 1
тмного | camous | 1
негр | black person | 1
пригодиться | come in handy | 1
сигма | sigma | 1
раскачсить | swing | 1
xtuj | what | 1
lfdfq | LFDFQ | 1
раскачаться | Swing | 1
мат | mat | 1
тинькоф | Tinkoff | 1
кешбек | Keshbek | 1
итого | Total | 1
ама | Ama | 1
сокет | SOCKET | 1
материнский | maternal | 1
класть | Put | 1
видевокака | Vidivokoka | 1
мелить | Miss | 1
будущее | future | 1
проца | Hold | 1
целое | whole | 1
аэаххахс | AEAHHAHS | 1
хахахахааахха | hahahahahaha | 1
условно | conditionally | 1
конченый | finished | 1
план | plan | 1
подождт | Probably | 1
нормальный | normal | 1
ахахахи | Ahahahi | 1
ааххахахах | Aahhahah | 1
эщкер | Escher | 1
ооооо | OOOOO | 1
ахахха | Ahahha | 1
